________________________________________________________________________________________________________
Check time: 2019-04-03 14:03:16
________________________________________________________________________________________________________
Service:Adobe Acrobat Update Service| Status: Running
Service:Adobe Genuine Monitor Service| Status: Running
Service:Adobe Genuine Software Integrity Service| Status: Running
Service:AllJoyn Router Service| Status: Paused
Service:Application Layer Gateway Service| Status: Paused
Service:AMD External Events Utility| Status: Running
Service:Application Identity| Status: Paused
Service:Application Information| Status: Running
Service:App Readiness| Status: Paused
Service:AppX Deployment Service (AppXSVC)| Status: Running
Service:aswbIDSAgent| Status: Running
Service:Windows Audio Endpoint Builder| Status: Running
Service:Windows Audio| Status: Running
Service:%1!s! Update Service (avast)| Status: Paused
Service:Avast Antivirus| Status: Running
Service:%1!s! Update Service (avastm)| Status: Paused
Service:AvastWscReporter| Status: Paused
Service:ActiveX Installer (AxInstSV)| Status: Paused
Service:BitLocker Drive Encryption Service| Status: Paused
Service:Base Filtering Engine| Status: Running
Service:Background Intelligent Transfer Service| Status: Paused
Service:Background Tasks Infrastructure Service| Status: Running
Service:Computer Browser| Status: Paused
Service:Bluetooth Audio Gateway Service| Status: Paused
Service:AVCTP service| Status: Paused
Service:Bluetooth Support Service| Status: Paused
Service:Capability Access Manager Service| Status: Running
Service:Connected Devices Platform Service| Status: Running
Service:Certificate Propagation| Status: Paused
Service:שירות 'לחץ והפעל' של Microsoft Office| Status: Running
Service:Client License Service (ClipSVC)| Status: Paused
Service:COM+ System Application| Status: Paused
Service:CoreMessaging| Status: Running
Service:Intel(R) Content Protection HECI Service| Status: Paused
Service:Cryptographic Services| Status: Running
Service:DCOM Server Process Launcher| Status: Running
Service:Optimize drives| Status: Paused
Service:Device Association Service| Status: Running
Service:Device Install Service| Status: Paused
Service:DevQuery Background Discovery Broker| Status: Paused
Service:DHCP Client| Status: Running
Service:Microsoft (R) Diagnostics Hub Standard Collector Service| Status: Paused
Service:Diagnostic Execution Service| Status: Paused
Service:Connected User Experiences and Telemetry| Status: Running
Service:Device Management Enrollment Service| Status: Paused
Service:dmwappushsvc| Status: Paused
Service:DNS Client| Status: Running
Service:Delivery Optimization| Status: Running
Service:Wired AutoConfig| Status: Paused
Service:Diagnostic Policy Service| Status: Running
Service:Device Setup Manager| Status: Paused
Service:Data Sharing Service| Status: Paused
Service:DTS APO Service| Status: Running
Service:Data Usage| Status: Running
Service:Extensible Authentication Protocol| Status: Paused
Service:EasyAntiCheat| Status: Paused
Service:Encrypting File System (EFS)| Status: Paused
Service:Embedded Mode| Status: Paused
Service:Enterprise App Management Service| Status: Paused
Service:Windows Event Log| Status: Running
Service:COM+ Event System| Status: Running
Service:Intel(R) PROSet/Wireless Event Log| Status: Running
Service:Fax| Status: Paused
Service:Function Discovery Provider Host| Status: Paused
Service:Function Discovery Resource Publication| Status: Paused
Service:File History Service| Status: Paused
Service:Windows Font Cache Service| Status: Running
Service:Windows Presentation Foundation Font Cache 3.0.0.0| Status: Running
Service:Windows Camera Frame Server| Status: Paused
Service:GFNEX Service| Status: Running
Service:Google Chrome Elevation Service| Status: Paused
Service:GoPro Device Detection Service| Status: Running
Service:Group Policy Client| Status: Paused
Service:GraphicsPerfSvc| Status: Paused
Service:Google Update Service (gupdate)| Status: Paused
Service:Google Update Service (gupdatem)| Status: Paused
Service:Human Interface Device Service| Status: Running
Service:HV Host Service| Status: Paused
Service:Windows Mobile Hotspot Service| Status: Paused
Service:Intel(R) HD Graphics Control Panel Service| Status: Running
Service:IKE and AuthIP IPsec Keying Modules| Status: Paused
Service:Microsoft Store Install Service| Status: Paused
Service:Intel(R) Capability Licensing Service Interface| Status: Running
Service:Intel(R) Capability Licensing Service TCP IP Interface| Status: Paused
Service:Intel(R) ME Service| Status: Running
Service:IP Helper| Status: Running
Service:IP Translation Configuration Service| Status: Paused
Service:Infrared monitor service| Status: Paused
Service:Intel(R) Dynamic Application Loader Host Interface Service| Status: Running
Service:CNG Key Isolation| Status: Running
Service:KtmRm for Distributed Transaction Coordinator| Status: Paused
Service:Server| Status: Running
Service:Workstation| Status: Running
Service:Geolocation Service| Status: Paused
Service:Windows License Manager Service| Status: Running
